"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"tm_press_to_open_menu","Press the 'B'-Key to<br/>open the Trader Menu.","Press the 'B'-Key to<br/>open the Trader Menu.","Stiskni 'B'-Klávesu pro<br/>otevření menu obchodníka.","Mit der 'B'-Taste öffnest<br/>du das Händler Menü.","Нажмите кнопку 'B'<br/>чтобы открыть меню торговца.","Naciśnij klawisz „B”, aby<br/>otworzyć menu tradera.","Press the 'B'-Key to<br/>open the Trader Menu.","Press the 'B'-Key to<br/>open the Trader Menu.","Pulse la 'B'-tecla para<br/>abrir el menu del comerciante!","Appuyez sur la touche 'B' pour<br/>ouvrir le menu Trader.","Press the 'B'-Key to<br/>open the Trader Menu.","Press the 'B'-Key to<br/>open the Trader Menu.","Carrega na tecla 'B' para<br/>abrires o Menu do trader","Press the 'B'-Key to<br/>open the Trader Menu.",
"tm_welcome_back","Welcome back!","Welcome back!","Vítejte zpět!","Willkommen zurück!","С возвращением!","Witamy spowrotem!","Welcome back!","Welcome back!","Bienvenido de nuevo!","Bon retour!","Welcome back!","Welcome back!","Bem vindo de volta!","Welcome back!",
"tm_left_safezone","You left the Safezone!","You left the Safezone!","Opustil jsi bezpečnou zónu!","Du hast die Safezone verlassen!","Вы покинули Безопасную Зону!","Opuściłeś Safezone!","You left the Safezone!","You left the Safezone!","Abandonaste el Safezone!","Vous quittez la Safezone!","You left the Safezone!","You left the Safezone!","sais-te da Safezone!","You left the Safezone!",
"tm_leaving_the_safezone_in","You are leaving the<br/>Safezone in","You are leaving the<br/>Safezone in","Opouštíš bezpečnou<br/>zónu za","Du verlässt die<br/>Safezone in","Вы покинете<br/>Безопасную зону через","Opuszczasz Safezone za","You are leaving the<br/>Safezone in","You are leaving the<br/>Safezone in","Estas dejando el<br/>Safezone in","Vous quitterez <br/>la Safesone dans","You are leaving the<br/>Safezone in","You are leaving the<br/>Safezone in","Sais defenitivamente da<br/>Safezone em","You are leaving the<br/>Safezone in",
"tm_seconds","Seconds","Seconds","Sekundy","Sekunden","секунд","sekund","Seconds","Seconds","segundos","Secondes","Seconds","Seconds","Segundos","Seconds",
"tm_not_that_fast","Not that fast Bro!","Not that fast Bro!","Ne tak rychle kámo!","Nicht so schnell Alter!","Не так быстро, братан!","Nie tak szybko, koleś!","Not that fast Bro!","Not that fast Bro!","No tan rapido amigo!","Pas si vite Mec!","Not that fast Bro!","Not that fast Bro!","Doi-te tudo é uma desgraça,<br/>respira fundo que isso pássa,<br/>tem calma, RELAXA","Not that fast Bro!",
"tm_cancel","Cancel","Cancel","Zrušit","Abbrechen","Закрыть","Anuluj","Cancel","Cancel","Cancelar","Annuler","Cancel","Cancel","Fechar Menu","Cancel",
"tm_buy","Buy","Buy","Koupit","Kaufen","Купить","Kup to","Buy","Buy","Comprar","Acheter","Buy","Buy","Comprar","Buy",
"tm_sell","Sell","Sell","Prodat","Verkaufen","Продать","Sprzedaj to","Sell","Sell","Vender","Vendre","Sell","Sell","Vender","Sell",
"tm_item","Item","Item","Věc","Gegenstand","Предмет","Przedmiot","Item","Item","Articulo","Objets","Item","Item","Item","Item",
"tm_price_buy","Price Buy","Price Buy","Cena koupě","Kaufpreis","Цена покупки","Cena kupna","Price Buy","Price Buy","Precio de compra","Prix d'Achat","Price Buy","Price Buy","Valor de compra","Price Buy",
"tm_price_sell","Price Sell","Price Sell","Cena prodeje","Verkaufspreis","Цена продажи","Cena sprzedaży","Price Sell","Price Sell","Precio de venta","Prix de Vente","Price Sell","Price Sell","Valor de venda","Price Sell",
"tm_ruble","Ruble","Ruble","Rubl","Rubel","Рубль","Rubel","Ruble","Ruble","Rublo","Rouble","Ruble","Ruble","Rublos","Ruble",
"STR_tm_1_ruble_note","1 Ruble Note","1 Ruble Note","1 Rubl","1 Rubel Schein","Банкнота 1 рубль","1 Rubel","1 Ruble Note","1 Ruble Note","1 nota de rublo","Billet de 1 Rouble","1 Ruble Note","1 Ruble Note","1 Rublo","1 Ruble Note",
"STR_tm_5_ruble_note","5 Ruble Note","5 Ruble Note","5 Rublů","5 Rubel Schein","Банкнота 5 рублей","5 Rubli","5 Ruble Note","5 Ruble Note","5 notas de rublo","Billet de 5 Roubles","5 Ruble Note","5 Ruble Note","5 Rublos","5 Ruble Note",
"STR_tm_10_ruble_note","10 Ruble Note","10 Ruble Note","10 Rublů","10 Rubel Schein","Банкнота 10 рублей","10 Rubli","10 Ruble Note","10 Ruble Note","10 notas de rublo","Billet de 10 Roubles","10 Ruble Note","10 Ruble Note","10 Rublos","10 Ruble Note",
"STR_tm_25_ruble_note","25 Ruble Note","25 Ruble Note","25 Rublů","25 Rubel Schein","Банкнота 25 рублей","25 Rubli","25 Ruble Note","25 Ruble Note","25 notas de rublo","Billet de 25 Roubles","25 Ruble Note","25 Ruble Note","25 Rublos","25 Ruble Note",
"STR_tm_50_ruble_note","50 Ruble Note","50 Ruble Note","50 Rublů","50 Rubel Schein","Банкнота 50 рублей","50 Rubli","50 Ruble Note","50 Ruble Note","50 notas de rublo","Billet de 50 Roubles","50 Ruble Note","50 Ruble Note","50 Rublos","50 Ruble Note",
"STR_tm_100_ruble_note","100 Ruble Note","100 Ruble Note","100 Rublů","100 Rubel Schein","Банкнота 100 рублей","100 Rubli","100 Ruble Note","100 Ruble Note","100 notas de rublo","Billet de 100 Roubles","100 Ruble Note","100 Ruble Note","100 Rublos","100 Ruble Note",
"STR_tm_ruble_description","This Currency was used in Chernarus before the Disease. It is now only used for trading.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","Tahle měna byla používána v Černarusi před nákazou. Nyní se používá pouze pro obchodování.","Diese Währung wurde in Chernarus vor dem Ausbruch genutzt. Sie wird nun lediglich für den Handel benutzt.","Эта валюта использовалась в Черноруссии до апокалипсиса. И по сей день не потеряла своей ценности.","Waluta która była używana w Chernarus przed wirusem. Teraz używana tylko do handlowania.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","Esta moneda se usó en Chernarus antes de la enfermedad. Ahora solo se utiliza para el comercio.","Cette monnaie était utilisée à Chernarus avant la maladie. Elle est maintenant utilisée pour l'achat et la vente d'objets.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","Esta moeda era utilizada em Chernarus antes da epidemia. É a moeda de troca para o comércio","This Currency was used in Chernarus before the Disease. It is now only used for trading.",
"STR_tm_vehicle_key","Vehicle Key","Vehicle Key","Klíč od auta","Fahrzeugschlüssel","Ключ от автомобиля","Klucz","Vehicle Key","Vehicle Key","llaves del vehiculo","Cléf du véhicule","Vehicle Key","Vehicle Key","Chave do veiculo","Vehicle Key",
"STR_tm_vehicle_key_description","This is just a normal Key to lock and unlock your Vehicle.","This is just a normal Key to lock and unlock your Vehicle.","Tohle je jen normální klič na zamykání a odemykání tvého vozidla.","Ein normaler Schlüssel um ein Fahrzeug abzuschließen oder aufzuschließen.","Это просто обычный ключ для блокировки и разблокировки вашего автомобиля.","To tylko zwykły klucz do zablokowania i odblokowania twojego pojazdu.","This is just a normal Key to lock and unlock your Vehicle.","This is just a normal Key to lock and unlock your Vehicle.","Esta es solo una llave normal para abrir y cerrar el vehiculo.","Ceci est juste une clé normale pour verrouiller et déverrouiller votre véhicule.","This is just a normal Key to lock and unlock your Vehicle.","This is just a normal Key to lock and unlock your Vehicle.","Chave para abrir e fechar o teu veiculo.","This is just a normal Key to lock and unlock your Vehicle.",
